date,tmean_c_mean,tmean_c_min,tmean_c_max,tmean_c_std,tmax_c_mean,tmin_c_mean,hdd18_mean,cdd22_mean,amp_termica_mean,precip_mm_mean,rad_solar_mean,sunshine_h_mean,humidade_relativa_mean,nebulosidade_media_mean,wind_speed_max_mean,wind_gusts_max_mean,day_length_h_mean,n_zones,consumo_gwh,dow,is_weekend,month,year
2015-09-02,7.794,4.5,10.9,1.3674660015174502,13.02,3.822,10.206,0.0,9.198,0.0,13.686399999999999,9.531731833333334,62.58,13.46,23.101999999999997,44.088,10.4656,50,162.0,2,0,9,2015
2015-09-03,12.99,10.9,15.7,1.277793059161309,19.722,7.548000000000001,5.01,0.0,12.174000000000001,0.0,18.8226,10.633071222222222,77.84,4.18,13.782,25.088,11.6428,50,135.0,3,0,9,2015
2015-09-04,13.806,11.6,15.1,0.714402847538718,16.756,11.418,4.194,0.0,5.337999999999999,6.438,15.6896,10.555408333333332,82.94,84.64,11.202,26.354,12.998,50,132.0,4,0,9,2015
2015-09-05,16.852,15.1,21.8,1.326532998427995,22.25,12.168,1.3519999999999999,0.0,10.081999999999999,0.0,25.297399999999996,11.495701555555556,81.56,86.88,13.405999999999999,25.781999999999996,14.175,50,118.0,5,1,9,2015
2015-09-06,24.122,19.3,26.3,1.5367989525009975,29.06,19.412,0.0,2.206,9.648,0.992,27.4788,13.667733166666666,61.56,34.78,14.458,29.764,14.932,50,143.0,6,1,9,2015
2015-09-07,23.27,19.2,26.0,2.142499970233134,29.614,18.436,0.0,1.73,11.177999999999999,0.0,30.199,13.720532,64.56,3.32,18.592,35.611999999999995,14.8474,50,146.0,0,0,9,2015
2015-09-08,25.195999999999998,20.4,29.6,1.7558020436047257,32.196,18.956,0.0,3.228,13.24,0.008,26.6698,12.676643444444444,47.44,3.64,18.483999999999998,36.297999999999995,13.9872,50,116.0,1,0,9,2015
2015-09-09,18.924,16.6,24.5,1.837540503510281,22.658,15.082,0.242,0.12,7.5760000000000005,0.192,13.977,7.190534166666667,76.98,76.8,14.908,28.92,12.742,50,137.0,2,0,9,2015
2015-09-10,16.016,13.7,18.7,0.9986439785621131,20.798000000000002,11.798,1.9980000000000002,0.0,9.0,0.23,14.99,9.465289222222223,79.28,79.08,15.744000000000002,30.848000000000003,11.4464,50,133.0,3,0,9,2015
2015-09-11,16.532,13.4,18.8,1.5634133249047737,22.098000000000003,12.714,1.554,0.0,9.384,0.0,11.407,8.7557455,85.3,28.9,10.016,18.796,10.1964,50,131.0,4,0,9,2015
2015-09-12,12.446,8.4,16.4,2.176705055343784,16.344,9.762,5.553999999999999,0.0,6.582000000000001,0.013999999999999999,6.027,5.272227833333334,83.26,96.46,14.908,27.69,9.4226,50,146.0,5,1,9,2015
2015-10-01,8.826,6.3,13.3,1.750546270424738,14.812000000000001,4.534,9.174,0.0,10.277999999999999,0.0,9.7186,8.501628944444445,78.96,12.8,10.89,19.448,9.5404,50,143.0,3,0,10,2015
2015-10-02,8.69,4.6,11.2,1.6962443508997116,13.056,5.456,9.31,0.0,7.6,1.72,11.213199999999999,7.9112688888888885,72.0,52.58,19.148,35.578,10.5052,50,165.0,4,0,10,2015
2015-10-03,12.032,9.8,16.3,1.5430476072912807,17.976,6.7,5.968,0.0,11.276,0.0,17.9204,10.654602277777778,83.16,38.24,10.994000000000002,20.916,11.6866,50,139.0,5,1,10,2015
2015-10-04,13.466,11.6,15.5,0.7976009948205778,16.574,10.84,4.534,0.0,5.734,3.1460000000000004,16.636,10.918082055555555,87.28,57.62,14.824000000000002,29.666,13.0384,50,131.0,6,1,10,2015
2015-10-05,18.394000000000002,16.0,23.7,1.7087302840628387,24.178,13.46,0.446,0.064,10.718,0.0,27.4296,13.005084944444445,79.84,72.66,15.556,30.68,14.21,50,110.0,0,0,10,2015
2015-10-06,19.814,17.4,22.5,0.9273640502158002,22.658,17.178,0.012,0.01,5.48,0.252,22.775199999999998,12.896443722222223,78.1,63.16,17.63,37.958,14.9426,50,120.0,1,0,10,2015
2015-10-07,20.192,18.8,24.5,1.0551796442467287,24.13,17.514,0.0,0.08,6.6160000000000005,0.16399999999999998,24.7612,11.612279555555556,73.86,50.62,22.884,43.538000000000004,14.832799999999999,50,143.0,2,0,10,2015
2015-10-08,24.305999999999997,19.9,29.5,1.782501109138963,29.555999999999997,19.07,0.0,2.388,10.485999999999999,0.002,26.7394,12.842543277777777,59.38,8.86,18.11,35.254,13.954,50,133.0,3,0,10,2015
2015-10-09,18.758,16.9,23.5,1.3587344051261343,23.22,15.575999999999999,0.124,0.03,7.644,0.002,21.906399999999998,11.418911333333334,73.66,44.54,19.55,36.961999999999996,12.6976,50,137.0,4,0,10,2015
